path,level,paragraphs,sentences,words,muletillas_criticas_total,intensificadores_total,parrafos_muralla,oraciones_largas,em_dash_runs_largos,em_dash_pares_excesivos,frases_vetadas,apertura_formulaica,preguntas_retoricas_seguidas,red_cells
content/theory/L0-setup-laboratorio/exercises/06-diagnostico-dirigido.md,L0-setup-laboratorio,10,21,445,0,0,0,1,0,0,0,0,0,oraciones_largas
content/theory/L0-setup-laboratorio/exercises/07-proponer-check.md,L0-setup-laboratorio,7,23,455,0,0,0,1,0,0,0,0,0,oraciones_largas
content/theory/L0-setup-laboratorio/README.md,L0-setup-laboratorio,11,33,405,0,1,0,1,0,0,0,0,0,oraciones_largas
content/theory/L1-modelo-mental-computadora/chapters/00-introduccion.md,L1-modelo-mental-computadora,22,78,1590,0,4,0,3,0,1,0,0,0,intensificadores_total;oraciones_largas;em_dash_pares_excesivos
content/theory/L1-modelo-mental-computadora/chapters/01-maquina-de-estado.md,L1-modelo-mental-computadora,25,87,1641,0,5,0,2,0,0,0,0,0,intensificadores_total;oraciones_largas
content/theory/L1-modelo-mental-computadora/chapters/02-memoria.md,L1-modelo-mental-computadora,26,91,1395,0,3,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/chapters/03-cpu-registros.md,L1-modelo-mental-computadora,22,75,1390,0,2,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/chapters/04-instrucciones-operandos.md,L1-modelo-mental-computadora,42,110,2113,0,3,0,1,0,1,0,0,0,oraciones_largas;em_dash_pares_excesivos
content/theory/L1-modelo-mental-computadora/chapters/05-fetch-decode-execute.md,L1-modelo-mental-computadora,34,118,1805,0,5,0,1,0,0,0,0,0,intensificadores_total;oraciones_largas
content/theory/L1-modelo-mental-computadora/chapters/06-flujo-de-control.md,L1-modelo-mental-computadora,30,94,1586,0,5,0,1,0,0,0,0,0,intensificadores_total;oraciones_largas
content/theory/L1-modelo-mental-computadora/chapters/07-codigo-datos-programa.md,L1-modelo-mental-computadora,40,132,2970,2,7,1,3,0,2,0,0,0,intensificadores_total;parrafos_muralla;oraciones_largas;em_dash_pares_excesivos
content/theory/L1-modelo-mental-computadora/exercises/01-completar-traza.md,L1-modelo-mental-computadora,9,17,295,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/exercises/02-clase-instruccion.md,L1-modelo-mental-computadora,10,20,309,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/exercises/03-registro-vs-memoria.md,L1-modelo-mental-computadora,13,30,415,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/exercises/04-predecir-pc.md,L1-modelo-mental-computadora,22,37,482,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/exercises/05-reconocer-loop.md,L1-modelo-mental-computadora,15,53,715,0,1,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L1-modelo-mental-computadora/exercises/06-descomponer-fdx.md,L1-modelo-mental-computadora,16,43,532,0,1,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/exercises/07-mismo-bloque-dos-roles.md,L1-modelo-mental-computadora,14,42,625,0,1,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L1-modelo-mental-computadora/exercises/08-capa-del-error.md,L1-modelo-mental-computadora,19,48,705,0,1,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/exercises/09-comparar-snapshots.md,L1-modelo-mental-computadora,16,44,709,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/exercises/10-programa-propio.md,L1-modelo-mental-computadora,17,52,732,0,0,0,0,0,1,0,0,0,em_dash_pares_excesivos
content/theory/L1-modelo-mental-computadora/README.md,L1-modelo-mental-computadora,13,43,509,1,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/simulador-layouts.md,L1-modelo-mental-computadora,80,82,1797,2,1,0,7,0,0,0,0,0,oraciones_largas
content/theory/L1-modelo-mental-computadora/simulador.md,L1-modelo-mental-computadora,82,96,1417,0,1,0,3,0,0,0,0,0,oraciones_largas
content/theory/L1-modelo-mental-computadora/simulator-presets/01-suma-base.md,L1-modelo-mental-computadora,1,1,12,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/simulator-presets/02-salto-condicional.md,L1-modelo-mental-computadora,1,1,17,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/simulator-presets/03-indireccion-registro.md,L1-modelo-mental-computadora,1,1,7,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/simulator-presets/04-mov-y-copias.md,L1-modelo-mental-computadora,1,1,13,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/simulator-presets/05-salto-incondicional.md,L1-modelo-mental-computadora,1,1,24,0,0,0,0,0,0,0,0,0,
content/theory/L1-modelo-mental-computadora/simulator-presets/primos.md,L1-modelo-mental-computadora,1,2,27,0,0,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/chapters/00-introduccion.md,L2-representacion-informacion,21,69,1351,0,5,1,1,0,1,0,0,0,intensificadores_total;parrafos_muralla;oraciones_largas;em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/01-bits-bytes-ancho.md,L2-representacion-informacion,17,64,1297,0,1,0,1,2,2,0,0,0,oraciones_largas;em_dash_runs_largos;em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/02-hexadecimal.md,L2-representacion-informacion,20,61,935,0,2,0,0,0,1,0,0,0,em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/03-enteros-sin-signo.md,L2-representacion-informacion,22,58,1040,0,1,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/chapters/04-complemento-a-dos.md,L2-representacion-informacion,25,83,1227,0,1,0,0,0,1,0,0,0,em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/05-overflow-truncado.md,L2-representacion-informacion,24,72,1345,0,3,0,0,0,1,0,0,0,em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/06-texto-ascii.md,L2-representacion-informacion,20,62,1040,0,1,0,0,0,2,0,0,0,em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/07-utf8.md,L2-representacion-informacion,30,90,1579,0,2,0,0,0,3,0,0,0,em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/08-endianness.md,L2-representacion-informacion,27,73,1278,0,1,0,0,1,1,0,0,0,em_dash_runs_largos;em_dash_pares_excesivos
content/theory/L2-representacion-informacion/chapters/09-floating-point.md,L2-representacion-informacion,36,96,1609,1,5,0,0,0,0,0,0,0,intensificadores_total
content/theory/L2-representacion-informacion/exercises/01-conversiones.md,L2-representacion-informacion,6,11,234,0,0,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/exercises/02-lectura-dual.md,L2-representacion-informacion,7,13,269,0,1,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/exercises/03-inversion-signo.md,L2-representacion-informacion,9,20,321,0,0,0,0,0,1,0,0,0,em_dash_pares_excesivos
content/theory/L2-representacion-informacion/exercises/04-predecir-overflow.md,L2-representacion-informacion,10,30,473,0,0,1,1,0,0,0,0,0,parrafos_muralla;oraciones_largas
content/theory/L2-representacion-informacion/exercises/05-dump-ascii.md,L2-representacion-informacion,11,27,339,0,0,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/exercises/06-ascii-vs-utf8.md,L2-representacion-informacion,12,15,306,0,1,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/exercises/07-reconstruir-le.md,L2-representacion-informacion,12,29,376,0,1,0,1,0,0,0,0,0,oraciones_largas
content/theory/L2-representacion-informacion/exercises/08-comparar-le-be.md,L2-representacion-informacion,8,16,361,0,0,0,0,0,1,0,0,0,em_dash_pares_excesivos
content/theory/L2-representacion-informacion/exercises/09-desarmar-float.md,L2-representacion-informacion,15,36,481,0,1,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/exercises/10-valores-especiales-fp.md,L2-representacion-informacion,13,23,378,0,0,0,0,0,0,0,0,0,
content/theory/L2-representacion-informacion/exercises/11-diagnostico-cruzado.md,L2-representacion-informacion,18,35,644,0,1,0,1,0,0,0,0,0,oraciones_largas
content/theory/L2-representacion-informacion/laboratorio.md,L2-representacion-informacion,62,79,1825,0,3,0,7,0,0,0,0,0,oraciones_largas
content/theory/L2-representacion-informacion/README.md,L2-representacion-informacion,6,13,223,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/chapters/00-introduccion.md,L3-pipeline-compilacion-c,19,82,1153,0,0,2,0,0,2,0,0,0,parrafos_muralla;em_dash_pares_excesivos
content/theory/L3-pipeline-compilacion-c/chapters/01-source-artefactos-ejecutable.md,L3-pipeline-compilacion-c,19,46,694,0,1,0,0,0,1,0,0,0,em_dash_pares_excesivos
content/theory/L3-pipeline-compilacion-c/chapters/02-preprocesado.md,L3-pipeline-compilacion-c,25,74,992,0,2,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L3-pipeline-compilacion-c/chapters/03-compilacion-assembly.md,L3-pipeline-compilacion-c,25,74,1086,0,1,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/chapters/04-ensamblado-codigo-objeto.md,L3-pipeline-compilacion-c,25,65,919,0,2,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/chapters/05-simbolos-referencias.md,L3-pipeline-compilacion-c,32,78,1195,1,1,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/chapters/06-linking.md,L3-pipeline-compilacion-c,29,74,1184,0,1,0,2,0,0,0,0,0,oraciones_largas
content/theory/L3-pipeline-compilacion-c/chapters/07-libs-estaticas-dinamicas.md,L3-pipeline-compilacion-c,30,80,1169,0,0,1,0,0,1,0,0,0,parrafos_muralla;em_dash_pares_excesivos
content/theory/L3-pipeline-compilacion-c/chapters/08-flags.md,L3-pipeline-compilacion-c,33,90,1218,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L3-pipeline-compilacion-c/chapters/09-make.md,L3-pipeline-compilacion-c,28,87,1199,0,4,1,0,0,0,0,0,0,intensificadores_total;parrafos_muralla
content/theory/L3-pipeline-compilacion-c/exercises/01-cinco-artefactos.md,L3-pipeline-compilacion-c,11,14,200,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/02-comparar-c-i.md,L3-pipeline-compilacion-c,13,23,225,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/03-comparar-s-optimizacion.md,L3-pipeline-compilacion-c,9,24,268,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/04-tabla-simbolos.md,L3-pipeline-compilacion-c,9,21,193,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/05-undefined-reference.md,L3-pipeline-compilacion-c,12,33,285,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L3-pipeline-compilacion-c/exercises/06-enlazar-varios-o.md,L3-pipeline-compilacion-c,10,29,230,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/07-ldd-dependencias.md,L3-pipeline-compilacion-c,8,18,204,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/08-error-libreria-dinamica.md,L3-pipeline-compilacion-c,13,35,315,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L3-pipeline-compilacion-c/exercises/09-flag-observable.md,L3-pipeline-compilacion-c,11,25,294,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/10-makefile-minimo.md,L3-pipeline-compilacion-c,11,30,313,0,1,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L3-pipeline-compilacion-c/exercises/11-prediccion-recompilacion.md,L3-pipeline-compilacion-c,10,19,280,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/exercises/12-diagnostico-cruzado.md,L3-pipeline-compilacion-c,9,20,303,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/README.md,L3-pipeline-compilacion-c,6,14,223,0,0,0,0,0,0,0,0,0,
content/theory/L3-pipeline-compilacion-c/src/ARTIFACTS.md,L3-pipeline-compilacion-c,6,13,164,0,0,0,0,0,0,0,0,0,
content/theory/L4-build-system-rust/chapters/00-introduccion.md,L4-build-system-rust,14,46,1030,0,1,0,1,0,0,0,0,0,oraciones_largas
content/theory/L4-build-system-rust/chapters/01-de-gcc-a-cargo.md,L4-build-system-rust,17,56,1246,0,1,0,1,0,0,0,0,0,oraciones_largas
content/theory/L4-build-system-rust/chapters/02-crate-package-workspace.md,L4-build-system-rust,26,58,1100,1,2,0,1,0,0,0,0,0,oraciones_largas
content/theory/L4-build-system-rust/chapters/03-cargo-toml.md,L4-build-system-rust,31,84,1225,0,1,0,0,0,0,0,0,0,
content/theory/L4-build-system-rust/chapters/04-cargo-lock.md,L4-build-system-rust,23,51,1005,0,2,0,1,0,0,0,0,0,oraciones_largas
content/theory/L4-build-system-rust/chapters/05-target.md,L4-build-system-rust,24,68,1192,0,2,1,1,0,0,0,0,0,parrafos_muralla;oraciones_largas
content/theory/L4-build-system-rust/chapters/06-profiles.md,L4-build-system-rust,27,74,1185,0,0,2,0,0,1,0,0,0,parrafos_muralla;em_dash_pares_excesivos
content/theory/L4-build-system-rust/chapters/07-test-doc.md,L4-build-system-rust,26,69,1006,0,0,1,1,0,0,0,0,0,parrafos_muralla;oraciones_largas
content/theory/L4-build-system-rust/chapters/08-workspaces-y-cierre.md,L4-build-system-rust,27,51,1089,0,0,0,2,0,0,0,0,0,oraciones_largas
content/theory/L4-build-system-rust/exercises/01-crear-crate.md,L4-build-system-rust,6,23,256,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L4-build-system-rust/exercises/02-pipeline-verbose.md,L4-build-system-rust,6,20,280,0,0,1,1,0,0,0,0,0,parrafos_muralla;oraciones_largas
content/theory/L4-build-system-rust/exercises/03-agregar-dependencia.md,L4-build-system-rust,6,31,293,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L4-build-system-rust/exercises/04-reproducibilidad.md,L4-build-system-rust,7,33,335,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L4-build-system-rust/exercises/05-cache-de-artefactos.md,L4-build-system-rust,7,33,325,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L4-build-system-rust/exercises/06-comparar-profiles.md,L4-build-system-rust,7,30,366,0,0,1,1,0,0,0,0,0,parrafos_muralla;oraciones_largas
content/theory/L4-build-system-rust/exercises/07-tests-tres-lugares.md,L4-build-system-rust,7,33,376,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L4-build-system-rust/exercises/08-workspace-minimo.md,L4-build-system-rust,8,30,271,0,0,0,0,0,0,0,0,0,
content/theory/L4-build-system-rust/README.md,L4-build-system-rust,12,53,529,0,0,1,0,0,1,0,0,0,parrafos_muralla;em_dash_pares_excesivos
